scenario,controller,step,ax,ay,acceleration_magnitude
scenario_1,SAC,1,0.9640276432037354,0.9640276432037354,1.363340973854065
scenario_1,SAC,2,0.9640276432037354,0.9640276432037354,1.363340973854065
scenario_1,SAC,3,0.9640276432037354,0.9640276432037354,1.363340973854065
scenario_1,SAC,4,0.9403228759765625,0.9640276432037354,1.3466835021972656
scenario_1,SAC,5,0.8771777153015137,0.9640276432037354,1.3033764362335205
scenario_1,SAC,6,0.7276177406311035,0.9013473987579346,1.1583845615386963
scenario_1,SAC,7,0.33882856369018555,0.6165206432342529,0.703493058681488
scenario_1,SAC,8,-0.4124283790588379,-0.04128217697143555,0.4144892990589142
scenario_1,SAC,9,0.8527517318725586,0.8221983909606934,1.184565544128418
scenario_1,SAC,10,0.682365894317627,0.22090673446655273,0.717232882976532
scenario_1,SAC,11,-0.08673667907714844,-0.41152238845825195,0.42056381702423096
scenario_1,SAC,12,-0.591742992401123,-0.6223917007446289,0.8587963581085205
scenario_1,SAC,13,0.879216194152832,0.3102898597717285,0.9323630928993225
scenario_1,SAC,14,0.6000757217407227,0.3942131996154785,0.7179797887802124
scenario_1,SAC,15,-0.3638625144958496,-0.2560853958129883,0.4449445605278015
scenario_1,SAC,16,-0.6833076477050781,-0.6168127059936523,0.9205255508422852
scenario_1,SAC,17,0.9578466415405273,-0.7248163223266602,1.2011780738830566
scenario_1,SAC,18,0.7572531700134277,0.02428293228149414,0.7576424479484558
scenario_1,SAC,19,0.018036365509033203,-0.1607060432434082,0.16171500086784363
scenario_1,SAC,20,-0.5485177040100098,-0.5550026893615723,0.7803202271461487
scenario_1,SAC,21,0.9301900863647461,0.6035208702087402,1.1088241338729858
scenario_1,SAC,22,0.419771671295166,0.4581332206726074,0.6213648915290833
scenario_1,SAC,23,-0.513160228729248,-0.3161430358886719,0.6027269959449768
scenario_1,SAC,24,-0.7036209106445312,-0.5859613418579102,0.9156599044799805
scenario_1,SAC,25,0.9464025497436523,-0.8036136627197266,1.2415605783462524
scenario_1,SAC,26,0.3044605255126953,-0.8442878723144531,0.8975066542625427
scenario_1,SAC,27,-0.4935264587402344,-0.8185386657714844,0.9558106064796448
scenario_1,SAC,28,-0.7079601287841797,-0.693058967590332,0.9907261729240417
scenario_1,SAC,29,-0.8496284484863281,-0.5033493041992188,0.9875368475914001
scenario_1,SAC,30,0.948786735534668,-0.7465600967407227,1.2072895765304565
scenario_1,SAC,31,0.4840373992919922,-0.7463455200195312,0.8895638585090637
scenario_1,SAC,32,-0.27408599853515625,-0.7084369659423828,0.7596091628074646
scenario_1,SAC,33,0.9124517440795898,0.9640216827392578,1.3273680210113525
scenario_1,SAC,34,0.39675235748291016,0.8951187133789062,0.9791067242622375
scenario_1,SAC,35,-0.6055593490600586,0.3459930419921875,0.6974334120750427
scenario_1,SAC,36,-0.7482767105102539,-0.11866092681884766,0.7576268315315247
scenario_1,SAC,37,-0.7820844650268555,-0.18126964569091797,0.8028168082237244
scenario_1,SAC,38,-0.621342658996582,0.9640216827392578,1.1469109058380127
scenario_1,SAC,39,-0.6397008895874023,0.9640216827392578,1.1569594144821167
scenario_1,SAC,40,-0.71868896484375,0.9401321411132812,1.1833690404891968
scenario_1,SAC,41,-0.7422685623168945,0.6801605224609375,1.0067676305770874
scenario_1,SAC,42,-0.6773948669433594,0.964045524597168,1.178239107131958
scenario_1,SAC,43,-0.3069639205932617,0.9640216827392578,1.0117137432098389
scenario_1,SAC,44,-0.16109943389892578,0.9112119674682617,0.9253433346748352
scenario_1,SAC,45,0.9481430053710938,0.6865501403808594,1.1706093549728394
scenario_1,SAC,46,0.8677482604980469,0.012993812561035156,0.8678455352783203
scenario_1,SAC,47,0.6385087966918945,-0.5235195159912109,0.8256913423538208
scenario_1,SAC,48,-0.20122528076171875,-0.6548643112182617,0.6850830912590027
scenario_1,SAC,49,-0.6026744842529297,-0.6906509399414062,0.9166325330734253
scenario_1,SAC,50,0.9197235107421875,0.7182598114013672,1.166956901550293
scenario_1,SAC,51,0.7741928100585938,-0.1184701919555664,0.7832047343254089
scenario_1,SAC,52,0.20608901977539062,-0.6155490875244141,0.6491327881813049
scenario_1,SAC,53,0.9358882904052734,0.6189346313476562,1.1220369338989258
scenario_1,SAC,54,0.7707595825195312,-0.1680135726928711,0.7888592481613159
